Filename,Identifier,IE_krr,IE_exp
88-68-6,NC(=O)c1ccccc1N,34.9930801487,nan
1885-29-6,Nc1ccccc1C#N,33.0258885416,nan
90-44-8,O=C1c2ccccc2Cc3ccccc13,71.114834361,nan
60-80-0,CN1N(C(=O)C=C1C)c2ccccc2,20.7145190413,nan
87-72-9,O[C@@H]1COC(O)[C@@H](O)[C@@H]1O,32.1969185392,nan
74-79-3,NC(CCCN=C(N)N)C(O)=O,-10.6696195237,nan
50-81-7,OCC(O)C1OC(=C(O)C1=O)O,52.8250897156,nan
617-45-8,NC(CC(O)=O)C(O)=O,30.1825865443,nan
56-84-8,NC(CC(O)=O)C(O)=O,30.0443988182,nan
271-63-6,[nH]1ccc2cccnc12,30.5234466592,nan
2133-34-8,OC(=O)[C@@H]1CCN1,-0.8921195801,nan
275-51-4,c1ccc2cccc2cc1,48.6470652007,nan
100-52-7,O=Cc1ccccc1,58.3639131523,nan
206752-36-5,NC(=[NH2+])c1ccccc1,31.557038198,nan
92-24-0,c1ccc2cc3cc4ccccc4cc3cc2c1,57.1307314141,nan
589-29-7,OCc1ccc(CO)cc1,42.0796224707,nan
89-05-4,OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(O)=O,84.8445239092,nan
554-95-0,OC(=O)c1cc(cc(c1)C(O)=O)C(O)=O,75.9539678543,nan
91-01-0,OC(c1ccccc1)c2ccccc2,52.5635567884,nan
134-81-6,O=C(c1ccccc1)C(=O)c2ccccc2,64.7728405612,nan
230-17-1,c1ccc2c(c1)nnc3ccccc23,49.2686740917,nan
271-89-6,o1ccc2ccccc12,59.7510315037,nan
119-53-9,OC(c1ccccc1)C(=O)c2ccccc2,59.7922969443,nan
441-38-3,O\N=C(C(O)c1ccccc1)/c2ccccc2,51.1760762588,nan
100-47-0,N#Cc1ccccc1,42.0440004756,nan
191-24-2,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,61.4656697015,nan
119-61-9,O=C(c1ccccc1)c2ccccc2,60.0774821234,nan
5350-57-2,NN=C(c1ccccc1)c2ccccc2,46.4232594324,nan
273-13-2,s1nc2ccccc2n1,40.5987321321,nan
273-53-0,o1cnc2ccccc12,49.5318290235,nan
93-91-4,CC(=O)CC(=O)c1ccccc1,50.8283457957,nan
85-52-9,OC(=O)c1ccccc1C(=O)c2ccccc2,71.3497830359,nan
611-95-0,OC(=O)c1ccc(cc1)C(=O)c2ccccc2,68.7216879914,nan
1501-05-9,OC(=O)CCCC(=O)c1ccccc1,58.5246306848,nan
611-73-4,OC(=O)C(=O)c1ccccc1,74.8888699392,nan
613-94-5,NNC(=O)c1ccccc1,35.9822558406,nan
2051-95-8,OC(=O)CCC(=O)c1ccccc1,56.8974199006,nan
91-02-1,O=C(c1ccccc1)c2ccccn2,53.9133864631,nan
140-11-4,CC(=O)OCc1ccccc1,48.9477499526,nan
2550-26-7,CC(=O)CCc1ccccc1,43.7510536159,nan
120-51-4,O=C(OCc1ccccc1)c2ccccc2,61.2415028452,nan
621-84-1,NC(=O)OCc1ccccc1,48.5124500886,nan
104-63-2,OCCNCc1ccccc1,14.1323161182,nan
2491-32-9,Oc1ccc(cc1)C(=O)Cc2ccccc2,57.0048682436,nan
51135-96-7,OC1(CC[NH2+]CC1)Cc2ccccc2,17.6264913784,nan
622-29-7,CN=Cc1ccccc1,34.3681617128,nan
1700-37-4,O=Cc1cccc(OCc2ccccc2)c1,60.6420319296,nan
1215-59-4,C(Oc1ccc2[nH]ccc2c1)c3ccccc3,53.5807536991,nan
3612-20-2,O=C1CCN(CC1)Cc2ccccc2,17.7718667231,nan
2116-65-6,C(c1ccccc1)c2ccncc2,39.0545986982,nan
621-08-9,O=[S](Cc1ccccc1)Cc2ccccc2,58.896053013,nan
103-29-7,C(Cc1ccccc1)c2ccccc2,44.0794773589,nan
92-52-4,c1ccc(cc1)c2ccccc2,47.3683873878,nan
3218-36-8,O=Cc1ccc(cc1)c2ccccc2,65.3445513088,nan
947-84-2,OC(=O)c1ccccc1c2ccccc2,65.151026218,nan
92-92-2,OC(=O)c1ccc(cc1)c2ccccc2,65.9062262742,nan
119-91-5,c1ccc2nc(ccc2c1)c3ccc4ccccc4n3,45.2528579855,nan
4916-57-8,C(Cc1ccncc1)c2ccncc2,31.1014046455,nan
108-19-0,NC(=O)NC(N)=O,-7.8339750508,nan
5655-61-8,CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,21.2501855691,nan
107-88-0,CC(O)CCO,9.1154597799,nan
110-63-4,OCCCCO,8.320832043,nan
1633-83-6,O=[S]1(=O)CCCCO1,57.8263300165,nan
123-86-4,CCCCOC(C)=O,20.330147478,nan
1694-31-1,CC(=O)CC(=O)OC(C)(C)C,14.9198768057,nan
104-51-8,CCCCc1ccccc1,40.1519714976,nan
135-98-8,CCC(C)c1ccccc1,40.8248324629,nan
98-06-6,CC(C)(C)c1ccccc1,42.2655317502,nan
98-52-2,CC(C)(C)C1CCC(O)CC1,1.2255553204,nan
98-53-3,CC(C)(C)C1CCC(=O)CC1,7.2176102941,nan
629-45-8,CCCCSSCCCC,39.8642345872,nan
544-40-1,CCCCSCCCC,28.5042320824,nan
2168-93-6,CCCC[S](=O)CCCC,19.9293062428,nan
464-48-2,CC1(C)C2CC[C@]1(C)C(=O)C2,19.3454928904,nan
124-83-4,CC1(C)[C@H](CC[C@@]1(C)C([O-])=O)C([O-])=O,38.739666834,nan
105-60-2,O=C1CCCCCN1,-3.3080808029,nan
22509-74-6,CCOC(=O)N1C(=O)c2ccccc2C1=O,60.4203407984,nan
1138-80-3,OC(=O)CNC(=O)OCc1ccccc1,37.0206124213,nan
1155-64-2,[NH3+][C@@H](CCCCNC(=O)OCc1ccccc1)C([O-])=O,33.8190632555,nan
1148-11-4,[O-]C(=O)[C@@H]1CCCN1C(=O)OCc2ccccc2,43.7189449223,nan
528-50-7,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,41.7275653214,nan
480-40-0,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3,65.8481438343,nan
485-71-2,OC(C1CC2CCN1CC2C=C)c3ccnc4ccccc34,30.792608267,nan
470-82-6,CC12CCC(CC1)C(C)(C)O2,12.6131454835,nan
14371-10-9,O=C/C=C/c1ccccc1,60.3240111442,nan
621-79-4,NC(=O)/C=C/c1ccccc1,50.5130991559,nan
1885-38-7,N#C/C=C/c1ccccc1,41.5827087307,nan
498-23-7,C\C(=C\C(O)=O)C(O)=O,50.7482324671,nan
5392-40-5,CC(C)=CCC\C(C)=C\C=O,19.9509069613,nan
77-92-9,OC(=O)CC(O)(CC(O)=O)C(O)=O,62.0726526854,nan
106-22-9,C[C@@H](CCO)CCC=C(C)C,9.0367213993,nan
372-75-8,NC(CCCNC(N)=O)C(O)=O,-3.3431712836,nan
191-07-1,c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,63.351056407,nan
91-64-5,O=C1Oc2ccccc2C=C1,70.3636757246,nan
105-07-7,O=Cc1ccc(cc1)C#N,70.6497054077,nan
619-65-8,OC(=O)c1ccc(cc1)C#N,70.7788392259,nan
15861-24-2,N#Cc1ccc2[nH]ccc2c1,40.6709738811,nan
86-53-3,N#Cc1cccc2ccccc12,51.1392912069,nan
873-62-1,Oc1cccc(c1)C#N,54.5087942182,nan
767-00-0,Oc1ccc(cc1)C#N,53.9662974681,nan
100-70-9,N#Cc1ccccn1,23.2242543066,nan
100-54-9,N#Cc1cccnc1,27.0893890018,nan
